City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,10.45,62,72,4.18,NZ,1670276941
1,Vardø,70.3705,31.1107,-3.01,86,75,3.09,NO,1670276825
2,Houma,29.5958,-90.7195,25.0,90,75,3.09,US,1670277080
3,Vung Tau,10.346,107.0843,25.39,87,88,3.61,VN,1670277080
4,Mataura,-46.1927,168.8643,10.27,90,97,1.57,NZ,1670277038
5,Ushuaia,-54.8,-68.3,8.81,46,75,11.32,AR,1670277039
6,Jamestown,42.097,-79.2353,7.8,26,0,4.63,US,1670277025
7,Kāmyārān,34.7956,46.9355,3.56,70,19,1.74,IR,1670277081
8,Puerto Ayora,-0.7393,-90.3518,24.98,89,52,2.68,EC,1670277018
9,Lüderitz,-26.6481,15.1594,15.97,69,3,8.84,NA,1670277022
10,Ancud,-41.8697,-73.8203,13.65,97,95,5.53,CL,1670276918
11,Chui,-33.6971,-53.4616,20.94,79,0,3.71,UY,1670277083
12,Hermanus,-34.4187,19.2345,12.67,68,99,1.93,ZA,1670276774
13,Sola,-13.8833,167.55,29.37,79,75,0.0,VU,1670277057
14,Albany,42.6001,-73.9662,5.25,48,100,3.01,US,1670277045
15,Görele,41.0308,39.0031,10.0,83,50,2.58,TR,1670277084
16,New Norfolk,-42.7826,147.0587,13.84,57,93,0.45,AU,1670277084
17,Hobart,-42.8794,147.3294,13.48,66,75,6.69,AU,1670276689
18,Yulara,-25.2406,130.9889,30.54,15,8,4.6,AU,1670277058
19,Rikitea,-23.1203,-134.9692,24.23,81,95,6.23,PF,1670276751
20,Salalah,17.0151,54.0924,22.94,69,0,1.04,OM,1670277085
21,Antofagasta,-23.65,-70.4,19.6,71,8,2.93,CL,1670277006
22,Keetmanshoop,-26.5833,18.1333,16.8,40,8,6.32,NA,1670277086
23,Cherskiy,68.75,161.3,-25.38,88,100,2.83,RU,1670277052
24,Kapaa,22.0752,-159.319,23.99,88,49,5.66,US,1670276989
25,Nhulunbuy,-12.2333,136.7667,26.34,83,72,0.0,AU,1670277087
26,Ayr,55.4627,-4.6339,1.29,93,40,1.54,GB,1670277087
27,Ponta do Sol,32.6667,-17.1,19.35,77,100,0.7,PT,1670277088
28,Dikson,73.5069,80.5464,-5.13,96,100,5.83,RU,1670277088
29,Constitución,-35.3333,-72.4167,17.5,65,6,7.47,CL,1670276915
30,Pacifica,37.6138,-122.4869,16.52,74,75,6.17,US,1670276954
31,Lagunas,-5.2269,-75.6753,29.81,61,93,0.77,PE,1670277089
32,Atuona,-9.8,-139.0333,25.3,74,91,7.0,PF,1670277056
33,Saskylakh,71.9167,114.0833,-24.43,89,100,8.82,RU,1670277090
34,Vaini,-21.2,-175.2,28.09,78,40,3.6,TO,1670277033
35,Tumut,-35.3,148.2167,15.92,67,2,1.65,AU,1670277090
36,Irbeyskoye,55.6428,95.4522,-14.63,71,100,5.24,RU,1670277091
37,Ahipara,-35.1667,173.1667,20.31,66,100,2.4,NZ,1670276960
38,Bud,39.447,-86.1758,7.17,63,100,3.02,US,1670277060
39,Saint Paul Harbor,57.79,-152.4072,3.73,93,100,5.14,US,1670276817
40,Chokurdakh,70.6333,147.9167,-37.81,99,37,3.24,RU,1670277092
41,Punta Arenas,-53.15,-70.9167,10.06,40,40,8.75,CL,1670276947
42,Fairhope,30.523,-87.9033,23.87,81,40,4.12,US,1670277093
43,Port Alfred,-33.5906,26.891,14.54,94,0,0.89,ZA,1670276754
44,Sungai Raya,0.7,108.9,24.75,90,67,1.73,ID,1670277093
45,Kedrovyy,56.1667,91.8167,-15.63,93,100,3.56,RU,1670277094
46,Pevek,69.7008,170.3133,-29.31,82,20,1.54,RU,1670276954
47,Yellowknife,62.456,-114.3525,-30.25,69,20,4.63,CA,1670276881
48,Turbat,26.0023,63.044,20.3,27,0,2.69,PK,1670277094
49,Talcahuano,-36.7167,-73.1167,18.82,68,0,6.69,CL,1670277016
50,Tezu,27.9167,96.1667,15.74,37,0,1.94,IN,1670277005
51,Busselton,-33.65,115.3333,13.91,71,0,5.11,AU,1670276749
52,Longyearbyen,78.2186,15.6401,-16.68,89,100,6.41,SJ,1670277096
53,Yuanping,38.7153,112.7575,-5.74,41,0,1.23,CN,1670277096
